Do you need manual annotations for your NLP projects? ,What NLP tasks do you need annotation for? ,Have you used open source annotation platforms before? ,Which of these tools have you used before?,"If you've used open source annotation tool(s) before, which annotation tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with open source annotation platforms? List 1-3.,Any other feedback on Open Source NLP/CV annotation tools?,Have you used commercial annotation platforms before?,Which of these tools/platforms have you heard of before ?,Which of the commercial tools listed above have you used before?,"If you've used any of the above platforms/tool(s) before, which tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with commercial platforms? List 1-3.,Tell us what's your dream annotation platform!!,Are you student? Do you work in academia / industry? Or are you an independent/freelancer?,Why do you need annotations for your task/data? ,Would the annotations you need require domain expertise or can it be handled by crowdsource workers with some minimum requirements?,Do you have a pool of trusted/expert annotators that can work on your annotation task(s)? ,Do you have any feedback on NLP annotation platforms?
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,WebAnno (https://webanno.github.io/webanno/),,,,No,MTurk (https://www.mturk.com/),,,,"all in one
",Student,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), Annotatrix, TrEd",TrEd,"dependency tree visualization, customization (keyboard shortcuts, shown attributes)",,No,MTurk (https://www.mturk.com/),,,,"Full Unicode support, customizable keyboard shortcuts for fast annotation, can be installed on server and support remote collaboration, but also allows working completely offline (such as annotating while in a plane).",Academia,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), SWAN (https://github.com/annefried/swan/wiki)","WebAnno, SWAN",linking annotations (e.g. for coreference annotations),,Yes,"MTurk (https://www.mturk.com/), Fiverr.com, Prolific Academic",,MTurk,,"Easy to use, HTMl based, comes with a good range of pre-defined templates and functionalities. Takes over all the server hosting etc. and leaves the researcher with the task of designing experiments.",Industrial research,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Appraise (https://github.com/cfedermann/Appraise), MyMiner, TeamTat, TextAE","brat, Appraise, TeamTat",online available (no need to install),,No,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/)",,,,"online available, easy teams management",Government,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in",Domain expertise / Trained annotators required,Yes,
Yes,Classification tasks,No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,"Quick, easy",Student,Exploring new facet of the data/task,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), custom software",Custom Software,,,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",?,,,"Custom ""widgets"", big high quality annotator community",Independent/Freelancer,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Crowdsource is sufficient,Yes,
Yes,"Classification tasks, Parsing annotations / Treebanking tasks",Yes,"Alpaca (https://inklab.usc.edu/AlpacaTag/), WebAnno (https://webanno.github.io/webanno/), CAT","WebAnno, Conllueditor",,,Yes,MTurk (https://www.mturk.com/),,,,"Easy to use, simple interface, high customization, built-in IAA calculation, simple & advanced search in files and annotation",Academia,"There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Span annotation, Entity linking tasks, word level annotation correction/tuning",Yes,TXM https://pages.textometrie.org/textometrie/en,TXM,be able to combine word level annotations with XML (for example TEI based) text encodings,"tools should make it clear if and how they provide character or word level annotations. With XML text encoding, character level annotation GUIs are not efficient. It is a general NLP tools question though: NLP tools usually take only raw .txt or word streams as input, which makes it difficult to inject NLP tools results back into XML encoded texts.",No,,,,,combining XML encoding and word level annotations,Academia,There's no way to get around this without supervised datasets,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), CAT","1)CAT 
2) Brat","1) flexibility in setting up the task
2) export annotated data in different formats",,No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",Appen data annotation,"1) flexibility in setting up the task
2) possibility of setting gold threshold
3) re-use of annotation template","1) large pool of annotators
2) simple export format of the annotations",1) Easy to install; 2) flexibility in the creation of annotation tasks; 3) possibility of annotating discontinuous tags; 4) annotation both token-based and character-based; 4) possibility of annotating data across documents (e.g. cross-document anaphora annotation task); 5) easy to work export format: e.g. stand-off XML; Tab field (or accompanying conversion scripts across formats); ,Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",depends on the task - sometimes only experts; in other cases a mixture of the 2,No,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Inception (https://github.com/inception-project/inception), WebAnno (https://webanno.github.io/webanno/), MMax2, Callipso, Knowtator",Knowtator,,,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",,,,too long to write,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,Classification tasks,Yes,Brat (https://brat.nlplab.org/),,,,Yes,"MTurk (https://www.mturk.com/), Upwork.com, Crowdflower/Figure Eight",Don't understand question,Figure Eight,,🤷,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,Brat (https://brat.nlplab.org/),"only used brat, and I really did not like it","connecting with external resources, annotating relationships between named-entities",,Yes,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/)",,Prodigy,Active Learning,"Active Learning, NER, Entity Linking w/ connection to wikidata for instances, relationships between named-entities, events annotation",Industry,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"WebAnno (https://webanno.github.io/webanno/), CAT (not open source); MMAX2 (not open source)",,"ease to create relations, easily exportable/usable annotation format",,No,"MTurk (https://www.mturk.com/), Samasource (https://www.samasource.com/), Fiverr.com",,,,trustworthy tokenisation and ability to deal with different character encodings so you can upload raw texts straight forward. ease to create the annotation projects (the less clicks the better). ease to edit annotations while annotating manually. ease to create relations among tags.,Academia,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,
